reviews.text,reviews.rating,sentiment,clean_text,aspects_found
"Not as fancy as the ipad, but a fraction of the cost works well with android system and all apps like on our android phones, cant beat the price",4,positive,fancy ipad fraction cost work well android system apps like android phone cant beat price,['price']
"Bought a few of these for Christmas gifts .Everyone is happy !Its a great device for the $$. Low price, and great quality as always from FIRE devices.",5,positive,bought christmas gift everyone happy great device low price great quality always fire device,"['price', 'quality']"
"Bought this for our year end holiday party raffle prize pool. Great price and people always have a use for an amazon tablet. Came with Kaspersky for free as well, which is a pretty generous complimentary add on.",5,positive,bought year end holiday party raffle prize pool great price people always use amazon tablet came kaspersky free well pretty generous complimentary add,['price']
"My 6 yr old daughter got this tablet from Santa for Christmas. So far she loves it, a little too much perhaps.. I only use it to manage her account/permissions and so far haven't had any issues with it.. Software and HW not quite as refined as apple iPad products, but what can you expect at the lower price point.",4,positive,yr old daughter got tablet santa christmas far love little much perhaps use manage accountpermissions far havent issue software hw quite refined apple ipad product expect lower price point,['price']
"Very nice for light internet browsing, keeping on top of email, viewing videos, and reading e books, which I like to get free from the library. Good browser, good battery power, fast charge. Very relaxing to sit in a comfy chair and read or browse. Has given me hours of enjoyment and information for a minimal price.",5,positive,nice light internet browsing keeping top email viewing video reading e book like get free library good browser good battery power fast charge relaxing sit comfy chair read browse given hour enjoyment information minimal price,"['price', 'battery']"
Great tablet and price. Ordering online easy. Not happy took so long to receive though.,5,positive,great tablet price ordering online easy happy took long receive though,['price']
"Best tablet, good price, nice looking. Ordering on line was easy.",5,positive,best tablet good price nice looking ordering line easy,['price']
Sharp picture and easy to use. And a fantastic price,5,positive,sharp picture easy use fantastic price,['price']
I wanted a low cost but quality tablet and this one is a dream! Easy to navigate and excellent graphics.,4,positive,wanted low cost quality tablet one dream easy navigate excellent graphic,['quality']
"I own two Nook tablets, another Kindle and a Samsung and this is the best one yet. Excellent battery life. Lets me check emails the Web and with Kindle. books can be switched from reads to listens. Also works better than the Nook with audiobooks.",5,positive,two nook tablet another kindle samsung best one yet excellent battery life let check email web kindle book switched read listens also work better nook audiobooks,['battery']
"great device for the price. good looking screen, quick and efficient. amazon app store isn't that bad either",5,positive,great device price good looking screen quick efficient amazon app store isnt bad either,['price']
This is a superb tablet for the price. It doesn't come with the Android operating system. It has Amazon's operating system. The battery last a good long time and apps run very fast. I would recommend this to anyone who wants a tablet.,5,positive,superb tablet price doesnt come android operating system amazon operating system battery last good long time apps run fast would recommend anyone want tablet,"['price', 'battery']"
"I am an Amazon Fan. Ive only had Amazon tablets so I cant compare them with any other brand. But, Amazon has great customer service, a lot of great apps. The HD 8 is a great tablet for watching movies, most games, and social media. Its not as good as the Kindle fire hdx. The speakers arent as good, the hdx has more of a surround sound, but the hd 8 is less expensive, has a place for a sims card for extra space, and has an ok front and rear facing camera. Overall its a great tablet for a great price.",5,positive,amazon fan ive amazon tablet cant compare brand amazon great customer service lot great apps hd great tablet watching movie game social medium good kindle fire hdx speaker arent good hdx surround sound hd less expensive place sims card extra space ok front rear facing camera overall great tablet great price,['price']
Bought it on black Friday for 60$ .Value for money tablet. It lags at heavy tasks and also apps are reloaded when 2-3 apps are opened at same time. But at this price it is expected. Go for it if budget is <100$.,4,positive,bought black friday value money tablet lag heavy task also apps reloaded apps opened time price expected go budget,['price']
overall this is a good tablet. it is best with those who have Prime Amazon and the ability to watch Amazon video. a good price for a good tablet but has limitations based on the operating system. for video watching and basic use a good choice,4,positive,overall good tablet best prime amazon ability watch amazon video good price good tablet limitation based operating system video watching basic use good choice,['price']
Nice tablet and couldn't beat the Black Friday price,5,positive,nice tablet couldnt beat black friday price,['price']
Good tablet for basic needs. Screens resolution is pretty good. Mostly using for reading and sometimes for watching movies/shows. Great feature is the possibility to use the card to expand the memory. Good product for great price!,4,positive,good tablet basic need screen resolution pretty good mostly using reading sometimes watching moviesshows great feature possibility use card expand memory good product great price,['price']
For a cheaper price this does more than my kindle- love having this tablet,5,positive,cheaper price kindle love tablet,['price']
Santa dropped this off for our 4th grader along with expanded memory. he uses it for Netflix and Youtube as well as Minecraft and other Apps. Why spend hundreds on something for basic kids needs? I'm sure this will last him a few years and is well worth the price.,5,positive,santa dropped th grader along expanded memory us netflix youtube well minecraft apps spend hundred something basic kid need im sure last year well worth price,['price']
This is a good device for entertainment and entry level tasks. I think it can do a lot for the price.,5,positive,good device entertainment entry level task think lot price,['price']
Nice price for the new model with Alexa built in and expandable storage!,5,positive,nice price new model alexa built expandable storage,['price']
"I have never owned a tablet. Wanted an I-Pad like most, but couldn't afford the sticker price. This one fit my needs perfect. I mainly just use it for web surfing and streaming video. No complaints so far! I would recommend this device.",5,positive,never owned tablet wanted ipad like couldnt afford sticker price one fit need perfect mainly use web surfing streaming video complaint far would recommend device,['price']
"This was purchased as a Christmas present for my aunt who lives with us. For the price, I thought it would be a good option for her since she doesn't want to drop the cash on an iPad.For comparison, the closest thing I have is an 8"" insignia tablet with similar screen resolution, storage, and features that was released at the same time. The Fire tablet impresses me! It is more responsive than the existing android tablet I have.This tablet runs FireOS which is Amazon's customized version of Android. Typically I do not like custom Android, preferring to have as close to a vanilla system as possible. I am not bothered by that with the Fire. If you need them the parental controls are second to none! The Amazon app store is extensive, although not as extensive as the Google Play store. Still you should be able to find pretty much everything you need there.This is not a flagship device, but performs incredibly for the price. I will most likely be purchasing one soon for myself.",5,positive,purchased christmas present aunt life u price thought would good option since doesnt want drop cash ipadfor comparison closest thing insignia tablet similar screen resolution storage feature released time fire tablet impress responsive existing android tablet havethis tablet run fireos amazon customized version android typically like custom android preferring close vanilla system possible bothered fire need parental control second none amazon app store extensive although extensive google play store still able find pretty much everything need therethis flagship device performs incredibly price likely purchasing one soon,['price']
"The price is low because Amazon uses their adds to subsidize the price. The actual tablet works well. The biggest negative is that you can only install apps from the Amazon store. There are many Android Apps available in the google store that are not available in the Amazon store.I primarily use the tablet for bible gateway, dish anywhere, play some games, read the newspaper, and Facebook. In the future I want to try to use it with my local library.",4,positive,price low amazon us add subsidize price actual tablet work well biggest negative install apps amazon store many android apps available google store available amazon storei primarily use tablet bible gateway dish anywhere play game read newspaper facebook future want try use local library,['price']
Screen is very clear and battery last a long time. Very good substitute if you can afford a iPad.,4,positive,screen clear battery last long time good substitute afford ipad,['battery']
"The tablet works fine. It is responsive with good resolution. It is too tied to Amazon. It requires too many hoops to get apps such as Zinio to work. Until Amazon loosens its grip, I recommend only at a very good price.",3,neutral,tablet work fine responsive good resolution tied amazon requires many hoop get apps zinio work amazon loosens grip recommend good price,['price']
Fun and reliable. Good quality for the money. Easy to use.,4,positive,fun reliable good quality money easy use,['quality']
Great tablet for the price. My granddaughter loves how user friendly it is.,5,positive,great tablet price granddaughter love user friendly,['price']
This was a gift for mom. She enjoys that it's easy to use and has good picture and sound quality. The price was also great,5,positive,gift mom enjoys easy use good picture sound quality price also great,"['price', 'quality']"
"The kindle fire tablets are great for the price. They have solid performance in battery life and processing power. The only downside is that the Operating System is a different variation of Android, so there could be some incompatibilities.",4,positive,kindle fire tablet great price solid performance battery life processing power downside operating system different variation android could incompatibility,"['price', 'battery', 'performance']"
Works well. Easy to use. Battery seems to be good. Would buy again.,4,positive,work well easy use battery seems good would buy,['battery']
Ticks all the boxes I was looking for at a price I was happy to pay. One caveat that I (or the Best Buy and Geek Squad crews) was unaware of: there is a glitch in the keyboard that prevents it from working properly. Kindle/Amazon are aware of the glitch and will download a third-party keyboard fix to replace the keyboard that's built in to the unit until they are able to fix the problem. I made Geek Squad aware of it and they should know about it now.,4,positive,tick box looking price happy pay one caveat best buy geek squad crew unaware glitch keyboard prevents working properly kindleamazon aware glitch download thirdparty keyboard fix replace keyboard thats built unit able fix problem made geek squad aware know,['price']
"What I expected. A better then budget tablet ata good price. Bought for the integration with Alexa and it works well, more info about your Alexa request will show up automatically on the tablet.",4,positive,expected better budget tablet ata good price bought integration alexa work well info alexa request show automatically tablet,['price']
Excellent ratio quality price. Lightweight. Good resolution and easy to use.,5,positive,excellent ratio quality price lightweight good resolution easy use,"['price', 'quality']"
Great tablet for the price. My father in law likes the easy use of the tablet.,4,positive,great tablet price father law like easy use tablet,['price']
Not a good product short battery life i can only use for 20 minutes,2,negative,good product short battery life use minute,['battery']
"I was looking for something to read on and this fit the bill for the right price.Great screen clarity, good adjustment too. Works well and the battery life is great. Size is nice too. Big enough for 1 hand if needed.",5,positive,looking something read fit bill right pricegreat screen clarity good adjustment work well battery life great size nice big enough hand needed,['battery']
"I wasn't really expecting much, however I was pleasantly surprised.It feels solid, responsive, screen is good.For the price its a bargain!!",5,positive,wasnt really expecting much however pleasantly surprisedit feel solid responsive screen goodfor price bargain,['price']
Ipad killer! A fierce tablet at a convinient price!,5,positive,ipad killer fierce tablet convinient price,['price']
I bought it as the display for my Echo. Turning on Voicecast routes information to the tablet with the voice reaponse. It'S been exactly what I hoped it would be and the price was right.,4,positive,bought display echo turning voicecast route information tablet voice reaponse exactly hoped would price right,['price']
"Got this for my mom for her birthday, and she absolutely loves it. Great tablet for the price point, good tablet overall.",5,positive,got mom birthday absolutely love great tablet price point good tablet overall,['price']
The Amazon Fire HD 8 is an awesome device. THE PRICE OF THIS TABLET IS MIND BOGGLING!! This tablet has everything you would expect and want in a tablet and more. It has Amazon Store and Amazon Prime preloaded. It's so much fun and so easy to use. THE PERFORMANCE OF THIS TABLET IS UNBELIEVABLE. You never stop thinking about the modest price you paid for such a fantastic tablet. It feels comfortable in your hands. The design is nice. The size is adequate for all tablet use. You can expand the memory storage of this device an additional 240GB. Can you believe it? Outstanding!!,5,positive,amazon fire hd awesome device price tablet mind boggling tablet everything would expect want tablet amazon store amazon prime preloaded much fun easy use performance tablet unbelievable never stop thinking modest price paid fantastic tablet feel comfortable hand design nice size adequate tablet use expand memory storage device additional gb believe outstanding,"['price', 'design', 'performance']"
The overall design makes it fir very nice in the hand. It is very easy to setup and has features that I did not utilize on previous Fire tablets. I like the camera and the Blue Shade ability. I like to read before bed and the color really does help me wind down. Long lasting battery!,4,positive,overall design make fir nice hand easy setup feature utilize previous fire tablet like camera blue shade ability like read bed color really help wind long lasting battery,"['battery', 'design']"
Very easy to use and has so much to offer for the low price.,5,positive,easy use much offer low price,['price']
So I think I would have rated 5 stars however when I got my tablet home my 8 year old used it for a total of 2hrs...the next day it had a reboot screen similar to Dos windows. Excellent customer service at store allowed me to exchange next day. No problems with the second one. Great tablet for the price.,4,positive,think would rated star however got tablet home year old used total hrsthe next day reboot screen similar do window excellent customer service store allowed exchange next day problem second one great tablet price,['price']
"I tested this item before I gave it as a gift. It is simple enough for the needs of browsing, social media and entertainment. Definitely best price for simple needs compared to spending $100s on an iPad",4,positive,tested item gave gift simple enough need browsing social medium entertainment definitely best price simple need compared spending ipad,['price']
"I bought this after subscribing to an Amazon Prime membership. This is a great little tablet at such a low price.. too good of a deal to pass up when it was on sale. It has the ability to talk to Alexa, surf the web, listen to music and read books/magazines (lots of free music and books for Prime members).",5,positive,bought subscribing amazon prime membership great little tablet low price good deal pas sale ability talk alexa surf web listen music read booksmagazines lot free music book prime member,['price']
"Bought this 8"" model to use in addition to my current 3 year old Kindle Fire HD (7 inch model). So far I am very pleased with the quality of this unit. The slightly larger screen makes watching movies much better. I didn't want the larger 10"" screen (yet).",5,positive,bought model use addition current year old kindle fire hd inch model far pleased quality unit slightly larger screen make watching movie much better didnt want larger screen yet,['quality']
"I purchased this on Black Friday because I could pass on the price. The tablet works great for basic internet needs and great for shopping on Amazon. If I were to purchase another Android Tablet, I will look for something with a little more power since this tablet slows when multi-tasking.",5,positive,purchased black friday could pas price tablet work great basic internet need great shopping amazon purchase another android tablet look something little power since tablet slows multitasking,['price']
"I bought this for my son (he's 1.5 years old) so he could play basic toddler games, but I found the tablet to be extremely useful for school with it's large screen and super long battery life. I'm waiting for the Surface Pro 5 but this tablet that I got for so cheap is making me second guess paying so much! For basic lecture taking notes and watching Netflix or Hulu and kid games, this can't be beat.",5,positive,bought son he year old could play basic toddler game found tablet extremely useful school large screen super long battery life im waiting surface pro tablet got cheap making second guess paying much basic lecture taking note watching netflix hulu kid game cant beat,['battery']
The best tablet for the price i use it everyday to watch youtube videos,5,positive,best tablet price use everyday watch youtube video,['price']
"Great item at great price, MY WIFE LOVES IT AND WONT PUT IT DOWN!",5,positive,great item great price wife love wont put,['price']
"Wanted a tablet at a cheap price and this item fit the bill. Bought on Black Friday which made the price even better. The screen looks good and the performance for the apps I have used so far have met expectations. I mainly used for surfing the web, youtube, and netflix. This device handles each with ease. Overall, I am satisfied with this device.",5,positive,wanted tablet cheap price item fit bill bought black friday made price even better screen look good performance apps used far met expectation mainly used surfing web youtube netflix device handle ease overall satisfied device,"['price', 'performance']"
"Works well; no issues with reboots or system hangs.. Good size - not too big and not too small. Screen is good for reading. Battery life is good, I've bought a few books from Amazon but mostly side-loaded books from the library onto a 32 GB micro sd card.",5,positive,work well issue reboots system hang good size big small screen good reading battery life good ive bought book amazon mostly sideloaded book library onto gb micro sd card,['battery']
"Though I have got it for cheap price during black friday, this Fire is not that great. Very bad camera and dim screen resolution. Pros:Install Google Play without any hassleVery good book reading option",3,neutral,though got cheap price black friday fire great bad camera dim screen resolution prosinstall google play without hasslevery good book reading option,['price']
I got it at a great price. They price matched for me. Much faster then getting my laptop out to check email,4,positive,got great price price matched much faster getting laptop check email,['price']
Was looking for a tablet to run my remote music server with from my easy chair. My first tablet I bought at about the same price ran through the battery in an hour. Amazon product is much better for battery life and image quality is very nice.,5,positive,looking tablet run remote music server easy chair first tablet bought price ran battery hour amazon product much better battery life image quality nice,"['price', 'quality', 'battery']"
"Best tablet around, cheaper than most and does just as much as other tablets. Great buy, it works perfect! Battery lasts a few days too.",5,positive,best tablet around cheaper much tablet great buy work perfect battery last day,['battery']
Very nice quality product. East to set up and use.,5,positive,nice quality product east set use,['quality']
So much more screen size than previously kindles. Fast charging. Longer battery life.,5,positive,much screen size previously kindles fast charging longer battery life,['battery']
"Purchased for my mom to read ebooks, great performance, screen looks good, easy to use. Very happy with this purchase.",5,positive,purchased mom read ebooks great performance screen look good easy use happy purchase,['performance']
"This is a good product for video, surfing and reading. However this version has dropped all android support as far as I can tell. I have a couple of apps that run on my old Fire just fine but are extremely problematic on this one. There is one app I use everyday but it doesn't work on this new Fire, so I have to keep the old one around. Kind of inconvenient. I would recommend seeing if your app is supported on this Fire before dropping the money.",3,neutral,good product video surfing reading however version dropped android support far tell couple apps run old fire fine extremely problematic one one app use everyday doesnt work new fire keep old one around kind inconvenient would recommend seeing app supported fire dropping money,['support']
"Better and faster than Kindle 7"". Great performance for the price.",5,positive,better faster kindle great performance price,"['price', 'performance']"
"Love it, easy to operate. Very reasonable price - on sale.",5,positive,love easy operate reasonable price sale,['price']
"I love this tablet. I know it's not an iPad or any of the big tablets but it does just what I need it to do. I've had it a few weeks now. I've downloaded videos, read a few books and played some games. I've had zero problems so far. I know it's not the best video, but for the price of the tablet I don't expect it to look like my flat screen TV. I'm trying not to load too many things to keep it from slowing down. So far so good. Browsing the internet is easy too. I'm getting used to the browser and the app store for Amazon. For the price of this tablet it's not too shabby!!!",4,positive,love tablet know ipad big tablet need ive week ive downloaded video read book played game ive zero problem far know best video price tablet dont expect look like flat screen tv im trying load many thing keep slowing far good browsing internet easy im getting used browser app store amazon price tablet shabby,['price']
Was looking to get an inexpensive tablet that ran Android. The Amazon Fire tablet was a much better value than other similar products. Have been very happy with the tablets durability and quality so far too. Would recommend to anyone looking for a lower-end tablet.,4,positive,looking get inexpensive tablet ran android amazon fire tablet much better value similar product happy tablet durability quality far would recommend anyone looking lowerend tablet,['quality']
Good quality product. Clear display and easy to use.,4,positive,good quality product clear display easy use,['quality']
Out of all the tablet choices out there we buy these for our children over any other. You can't beat the price and durability.,5,positive,tablet choice buy child cant beat price durability,['price']
Purchased this for reading and the price. Good value for money.,4,positive,purchased reading price good value money,['price']
Does everything a regular tablet can and for the price you really can't beat it,4,positive,everything regular tablet price really cant beat,['price']
"This is a nice little tablet for the $60 I paid on black Friday. At the regular price I would probably have gone with something a little less restricted and without so much Amazon content. The lock screen ads aren't much of a problem, I understand Amazon sells these cheap and gets it back via ads, but the 15-20 Amazon apps are a little much. It would be easier to stomach if you could add the ones you want or remove the ones you don't. That said, I was able to install the Google Play store and this tablet does everything I need it to do. Overall, I'm pretty happy with the purchase. It's a nice new toy. One note: In the online photos the magenta looks purple. It's actually pink. If you like purple, get a black one and a purple case.",4,positive,nice little tablet paid black friday regular price would probably gone something little less restricted without much amazon content lock screen ad arent much problem understand amazon sell cheap get back via ad amazon apps little much would easier stomach could add one want remove one dont said able install google play store tablet everything need overall im pretty happy purchase nice new toy one note online photo magenta look purple actually pink like purple get black one purple case,['price']
Love the new fire hd 8. Price is amazing and if you are an amazon prime mbr its even better! Great for the kids as you can lock their profiles to a kids mode and they can't buy anything. If i had one downfall its the smaller amount of apps available than apple or google play.,5,positive,love new fire hd price amazing amazon prime mbr even better great kid lock profile kid mode cant buy anything one downfall smaller amount apps available apple google play,['price']
"This was replacement for my wife's original iPad and broken Kindle Paperwhite. She loves it, as it does basically everything both of the previous devices did in one unit that is easy to use, has good battery life, very nice screen resolution and good size for her. Great value, especially compared to an iPad.",5,positive,replacement wife original ipad broken kindle paperwhite love basically everything previous device one unit easy use good battery life nice screen resolution good size great value especially compared ipad,['battery']
for the price this is a great works well the for the price display is hd love it,5,positive,price great work well price display hd love,['price']
Fast processing great battery reads to me when my eyes bother me. Expandable memory a big plus.,4,positive,fast processing great battery read eye bother expandable memory big plus,['battery']
I wanted a new kindle fir a while. The price was right,4,positive,wanted new kindle fir price right,['price']
"Couldn't beat the value for this with the Black Friday price. They aren't the best tablets, but they do a lot for the price.",4,positive,couldnt beat value black friday price arent best tablet lot price,['price']
"great size,sound and battery. just buy it already.",5,positive,great sizesound battery buy already,['battery']
Love the tablet mainly use for games and internet. Grrat product foe the price.,4,positive,love tablet mainly use game internet grrat product foe price,['price']
"I've had my other Kindle Fire for 5-6 years. It's still working but slowing down. I bought the updated version while it was on sale. I love it! I play games on it, download books, check my email and facebook. It's like a portable mini computer and I wouldn't be without it. I like it better than other people's tablets and you can't beat the price. I bought some for gifts and everybody loves it! I'd recommend it to people of all ages.",5,positive,ive kindle fire year still working slowing bought updated version sale love play game download book check email facebook like portable mini computer wouldnt without like better people tablet cant beat price bought gift everybody love id recommend people age,['price']
I purchased 2 of these FIre HD tablets as gifts. They pack a lot of punch for the price. I helped set them up so I was able to get an idea of how they are going to work. The screen was very nice and clear. Speed of tablet was good. It is easy to use. If you are already in the Amazon family through prime it is a no-brainer.I don't believe you can get a better tablet at this price point.,5,positive,purchased fire hd tablet gift pack lot punch price helped set able get idea going work screen nice clear speed tablet good easy use already amazon family prime nobraineri dont believe get better tablet price point,['price']
I bought these as a starter online browser. It is a very portable pad . Great price.,5,positive,bought starter online browser portable pad great price,['price']
You can't beat the price. Great deal for what you're paying.,4,positive,cant beat price great deal youre paying,['price']
I love it.....Reading E books here is so easyPerfect for price,4,positive,love itreading e book easyperfect price,['price']
Price was fabulous for an entry level tablet. Right on,5,positive,price fabulous entry level tablet right,['price']
Nice for the price had to put Google play store on myself but still a nice tablet,4,positive,nice price put google play store still nice tablet,['price']
this tablet has the best battery ive ever seen. The picture is great too.,5,positive,tablet best battery ive ever seen picture great,['battery']
Amazing video quality easy to maneuver wonderful screen size easy set up,5,positive,amazing video quality easy maneuver wonderful screen size easy set,['quality']
Great tablet other than the photo image quality is fuzzy and not the best.,4,positive,great tablet photo image quality fuzzy best,['quality']
The Fire HD8 strikes an excellent balance between performance and price. It has many of the features you'd want in a tablet for a fraction of the cost. Works flawlessly for reading and video streaming.,5,positive,fire hd strike excellent balance performance price many feature youd want tablet fraction cost work flawlessly reading video streaming,"['price', 'performance']"
Really beautiful display is great for watching movies and playing games. It is very powerful for the price and you can play lots of games from Amazon for free - they even remove microtransactions from lots of games.Only downside is you need Amazon Prime to get the most out of your tablet,4,positive,really beautiful display great watching movie playing game powerful price play lot game amazon free even remove microtransactions lot gamesonly downside need amazon prime get tablet,['price']
Graphics are great for the price. Would highly recommend.,4,positive,graphic great price would highly recommend,['price']
"Bought this for my mom and it was just what she needed and at a great price. Been wanting to get an Ipad for myself, but think this might be a great less expensive option for me as well.",5,positive,bought mom needed great price wanting get ipad think might great less expensive option well,['price']
The pad worked as I thought but the screen wasn't as vibrant as our iPads. Still a great deal for the price.,4,positive,pad worked thought screen wasnt vibrant ipads still great deal price,['price']
For its price. Amongst the others I felt this was a deal,5,positive,price amongst others felt deal,['price']
good price for the product. I purchased for my middle school son.,4,positive,good price product purchased middle school son,['price']
"The Amazon fire tablet is an excellent product. I primarily use it to purchase and read books from Kindle. Also, I use it for my Facebook activity. The battery life is long and it recharges quickly. My 10 year old son also enjoys using it. I would highly recommend this product to others.",5,positive,amazon fire tablet excellent product primarily use purchase read book kindle also use facebook activity battery life long recharges quickly year old son also enjoys using would highly recommend product others,['battery']
"Not sure if this is due to the new version but I'm not able to install or even sideload certain apps onto the tablet. Amazon is really trying to lock out non-Amazon apps namely ones from Google. Aside from that though, performance is already and what you'd expect from a tablet in this price range. This was purchased for my mom and it does what's needed and my mom has no complaints thus far.",4,positive,sure due new version im able install even sideload certain apps onto tablet amazon really trying lock nonamazon apps namely one google aside though performance already youd expect tablet price range purchased mom whats needed mom complaint thus far,"['price', 'performance']"
Excellent value for the price. Super easy to use and set up. Wonderful display. I love the fact that you can add an sd card for more memory unlike the old Kindles. Plus I'm really impressed with the fact the Amazon has such great offers.,5,positive,excellent value price super easy use set wonderful display love fact add sd card memory unlike old kindles plus im really impressed fact amazon great offer,['price']
"I love my kindle. It fast, great pict quality and is so convenient to use. I love using it to watch Netflix. It worth the purchase if you don't want to spend so much money.",5,positive,love kindle fast great pict quality convenient use love using watch netflix worth purchase dont want spend much money,['quality']
I love this tablet!! Excellent quality speakers and screen. Lots of storage space. Worth the money!!,5,positive,love tablet excellent quality speaker screen lot storage space worth money,['quality']
The Kindle Fire has great features for the price. The video quality is asstounding.,5,positive,kindle fire great feature price video quality asstounding,"['price', 'quality']"
"Excellent screen , fast response. Almost a steal for that price.",5,positive,excellent screen fast response almost steal price,['price']
